Partner.Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Early-demographic dividend,1.92145E+12,2.10816E+12,2.30925E+12,2.42097E+12,2.48511E+12,2.70756E+12,2.89833E+12,2.86347E+12,3.03022E+12,3.28811E+12,3.25575E+12,3.1612E+12,3.5155E+12,4.08395E+12,4.75986E+12,5.4483E+12,6.46716E+12,7.29018E+12,7.01331E+12,8.51864E+12,9.57239E+12,1.00332E+13,1.02009E+13,1.05519E+13,1.02274E+13,1.04374E+13,1.12494E+13
East Asia & Pacific,5.34316E+12,5.83773E+12,6.52897E+12,7.3011E+12,8.29616E+12,7.99244E+12,7.64756E+12,6.85697E+12,7.65559E+12,8.28088E+12,7.70192E+12,7.82433E+12,8.60171E+12,9.64625E+12,1.0293E+13,1.09163E+13,1.22095E+13,1.4102E+13,1.45312E+13,1.69433E+13,1.96479E+13,2.10314E+13,2.12752E+13,2.19142E+13,2.1795E+13,2.25122E+13,2.39993E+13
Europe & Central Asia (excluding high income),9.00664E+11,8.2861E+11,8.14105E+11,7.06723E+11,7.54548E+11,7.64174E+11,7.96314E+11,7.46431E+11,6.27048E+11,6.9828E+11,6.93714E+11,7.93468E+11,1.00276E+12,1.32589E+12,1.68086E+12,2.06371E+12,2.67161E+12,3.30727E+12,2.59773E+12,3.09528E+12,3.82865E+12,4.05455E+12,4.31146E+12,4.02178E+12,3.07485E+12,2.9433E+12,3.3005E+12
Europe & Central Asia,9.114E+12,9.7743E+12,8.98219E+12,9.39447E+12,1.08362E+13,1.1064E+13,1.04984E+13,1.07583E+13,1.06355E+13,1.00191E+13,1.01167E+13,1.10678E+13,1.34814E+13,1.57143E+13,1.67402E+13,1.81216E+13,2.1177E+13,2.32426E+13,2.04445E+13,2.09196E+13,2.31808E+13,2.23436E+13,2.33522E+13,2.36582E+13,2.03734E+13,2.02807E+13,2.14385E+13
Ecuador,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,98613972000,1.03057E+11
"Egypt, Arab Rep.",36970555899,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,97632008710,87850683979,82924503943,78845185293,89685725230,1.07484E+11,1.30479E+11,1.62818E+11,1.88982E+11,2.18888E+11,2.36002E+11,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32928E+11,2.35369E+11
Euro area,6.09868E+12,6.72813E+12,6.16185E+12,6.50835E+12,7.5119E+12,7.6037E+12,6.95214E+12,7.14392E+12,7.11197E+12,6.48114E+12,6.58788E+12,7.16796E+12,8.84393E+12,1.01445E+13,1.05291E+13,1.11796E+13,1.28736E+13,1.41131E+13,1.2905E+13,1.2641E+13,1.3622E+13,1.26419E+13,1.31933E+13,1.34789E+13,1.16673E+13,1.19347E+13,1.25895E+13
Eritrea,,477101651.6,467872714.8,531688311.7,578015625,693535954.2,686490090.1,745526154.9,688921325.7,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,2117039512,2607739837,,,,,,
Spain,5.75599E+11,6.29202E+11,5.23649E+11,5.29122E+11,6.1294E+11,6.40998E+11,5.88692E+11,6.17042E+11,6.33194E+11,5.95403E+11,6.25976E+11,7.05146E+11,9.06853E+11,1.06956E+12,1.15728E+12,1.26455E+12,1.47934E+12,1.63502E+12,1.4991E+12,1.43162E+12,1.48807E+12,1.33602E+12,1.36185E+12,1.37691E+12,1.19779E+12,1.23726E+12,1.31132E+12
Estonia,,,,,4373665146,4746109767,5066240419,5617109245,5726897998,5685774809,6245069734,7322069511,9833870709,12059201242,14006088297,16963625016,22237061730,24194039256,19652492637,19490936349,23170239901,23043864510,25137153149,26224622451,22566956982,23337907619,25921079612
